SKU,Marca,Modelo,PrecioNormal,PrecioInternet,Descripcion,Imagen,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Categoria6,Categoria7,Categoria8
2438554,Thierry Mugler,Perfume Angel EDP 100 ml,0,87000,a,http://integra.ing.puc.cl/IMAGENESTI/2438554.jpeg,Belleza,Cuerpo,,,,,,
3548922,Simple by Puro,Village Bowl Ensalada 16 cm Blanco,0,4990,a,http://integra.ing.puc.cl/IMAGENESTI/3548922.jpeg,Decohogar,Marcas Decohogar,Simple by Puro,,,,,
3629287,Mamas and Papas,Saco para Coche Morado,0,24990,a,http://integra.ing.puc.cl/IMAGENESTI/3629287.jpeg,Infantil,Especiales infantiles,Especial Marca,,,,,
3643360,Warehouse,Blusa Cierre Cruzado Negra,29990,19990,a,http://integra.ing.puc.cl/IMAGENESTI/3643360.jpeg,Moda  ,Marcas Moda,Warehouse,,,,,
3722238,Uvex,Lente Gizmo Rojo Transparente,9900,6990,a,http://integra.ing.puc.cl/IMAGENESTI/3722238.jpeg,Deportes,Zapatillas,Ver Todo Zapatillas,,,,,
3610315,Aldo,Sandalia Beige Elida 36,44900,29900,a,http://integra.ing.puc.cl/IMAGENESTI/3610315.jpeg,Calzado ,Calzado Hombre,,,,,,
3902733,Casio,Proyector Ultra Slim XJ-A241,0,999990,a,http://integra.ing.puc.cl/IMAGENESTI/3902733.jpeg,Electrohogar,Falabella TV,Cocina Entretenida,,,,,
3665626,Sybilla,Jeans Broche Cruzado,12990,9990,a,http://integra.ing.puc.cl/IMAGENESTI/3665626.jpeg,Moda  ,Vestuario Mujer,Faldas,Pantalones ,Jeans,,,
3363058,Benefit,Sombra de Ojos en Crema,0,13490,a,http://integra.ing.puc.cl/IMAGENESTI/3363058.jpeg,Belleza,Marcas Belleza,Benefit,,,,,
3732727,Celta,Colchon Active Bamboo  1 Plaza,89990,59990,a,http://integra.ing.puc.cl/IMAGENESTI/3732727.jpeg,Colchones,,,,,,,
3663778,Warehouse,Blazer Rayas Gris,39990,19990,a,http://integra.ing.puc.cl/IMAGENESTI/3663778.jpeg,Moda  ,Marcas Moda,Warehouse,,,,,
3691918,Skechers,Zapatilla Blanca 48146,0,29990,a,http://integra.ing.puc.cl/IMAGENESTI/3691918.jpeg,Moda  ,Vestuario Mujer,Faldas,Pantalones ,Jeans,,,
1912859,Paco Rabanne,Perfume Black XS For Her EDT 50 ml,37900,32190,a,http://integra.ing.puc.cl/IMAGENESTI/1912859.jpeg,Especiales Belleza,Imperdibles Belleza,,,,,,
2564102,Mica,Seccional derecho New atlas ecocuero amarillo,239990,179990,a,http://integra.ing.puc.cl/IMAGENESTI/2564102.jpeg,Decohogar,Marcas Decohogar,Robert Welch,,,,,
2151118,Rosatel,Caja 12 Rosas Rosadas,0,29990,a,http://integra.ing.puc.cl/IMAGENESTI/2151118.jpeg,Regalos,Para Ella,Flores,Arreglos,,,,
3858857,Doite,Saco de Dormir Cinamon,0,49990,a,http://integra.ing.puc.cl/IMAGENESTI/3858857.jpeg,Deportes,Otros Deportes,Camping ,Accesorios Camping,Carpas,Neveras,,
3632874,Vibram,Zapatilla Hombre Kso 40,0,49990,a,http://integra.ing.puc.cl/IMAGENESTI/3632874.jpeg,Especiales ,HP,,,,,,
3828077,GT,Bicicleta Aro 26 Palomar Blanca,0,189900,a,http://integra.ing.puc.cl/IMAGENESTI/3828077.jpeg,Especiales ,Especial Running,,,,,,
3541138,Mango,Camiseta Sport-N ,6990,4990,a,http://integra.ing.puc.cl/IMAGENESTI/3541138.jpeg,Moda  ,Marcas Moda,Mango,,,,,
3611519,Mica,Salero Rayas,0,990,a,http://integra.ing.puc.cl/IMAGENESTI/3611519.jpeg,Decohogar,Menaje Comedor,Bandejas y Fuentes,,,,,
3873424,Rosen,Boxet Ergo T1.5 Plazas + Muebles Bilbao + Textil,499990,329990,a,http://integra.ing.puc.cl/IMAGENESTI/3873424.jpeg,Especiales ,Ergo-t,Box Spring,,,,,
3557420,Asics,Zapatilla Mujer Gel Fuji Attack,69990,54990,a,http://integra.ing.puc.cl/IMAGENESTI/3557420.jpeg,Especiales ,BUSCADOR ZAPATILLAS,,,,,,
3787067,Lee,Jeans Azul 49500208VT,0,31990,a,http://integra.ing.puc.cl/IMAGENESTI/3787067.jpeg,Moda  ,Vestuario Hombre,Camisas,,,,,
3607579,Benefit,Kit de Maquillaje Go Tropicoral,0,19490,a,http://integra.ing.puc.cl/IMAGENESTI/3607579.jpeg,Belleza,Marcas Belleza,Benefit,Sets Maquillajes,,,,
3871474,Rosen,Divan Cama Ergo T + 2 Plumones,339990,219990,a,http://integra.ing.puc.cl/IMAGENESTI/3871474.jpeg,Especiales ,Ergo-t,Box Spring,,,,,
3825938,Hadaki,Cartera Pencil Stripes Negra,0,17990,a,http://integra.ing.puc.cl/IMAGENESTI/3825938.jpeg,Moda  ,Carteras,Carteras Urbanas,,,,,
3491982,H2O,Suero de Rostro Antiedad Noche 30 ml Sea Results,0,29990,a,http://integra.ing.puc.cl/IMAGENESTI/3491982.jpeg,Belleza,Marcas Belleza,Tweezerman,,,,,
3870310,Mossimo,Chaqueta Cruzada Negra,0,24990,a,http://integra.ing.puc.cl/IMAGENESTI/3870310.jpeg,Moda  ,Vestuario Mujer,Blazers y Chaquetas,,,,,
3316084,Rio,Depiladora Laser LAHR ,134990,99990,a,http://integra.ing.puc.cl/IMAGENESTI/3316084.jpeg,Falabella TV,Salud y Belleza,Estar linda, estar bien,,,,
2979398,Oxford,Banca Multifuncional Arm Power Ee - 4015,79990,59990,a,http://integra.ing.puc.cl/IMAGENESTI/2979398.jpeg,Deportes,Fitness,Home Gym,,,,,
3839628,Everlast,Bolso Lila Siena,0,15990,a,http://integra.ing.puc.cl/IMAGENESTI/3839628.jpeg,Moda  ,Carteras,Bolsos,,,,,
3466011,Teeez,Nail Lacquer Gutsy 05,0,2290,a,http://integra.ing.puc.cl/IMAGENESTI/3466011.jpeg,Falabella TV,Salud y Belleza,,,,,,
3149283,Mica,Home TV Londres,169990,89990,a,http://integra.ing.puc.cl/IMAGENESTI/3149283.jpeg,Living,,,,,,,
3867764,Bianchi,Bicicleta Aro 20 Wolf St Negro,0,89900,a,http://integra.ing.puc.cl/IMAGENESTI/3867764.jpeg,Deportes,Bicicletas ,Bicicletas Ruta-Pista,Ver Todas Las Bicicletas ,,,,
3635103,Lacoste,Zapatilla Negra Arros Srm,0,69800,a,http://integra.ing.puc.cl/IMAGENESTI/3635103.jpeg,Calzado ,Marcas Calzado,,,,,,
2800184,Mica,Banqueta Lisboa Capitone negro,149900,109990,a,http://integra.ing.puc.cl/IMAGENESTI/2800184.jpeg,Muebles,Living,Arrimos,,,,,
3880122,Acer,Notebook Aspire Multi-Touch,289990,239990,a,http://integra.ing.puc.cl/IMAGENESTI/3880122.jpeg,Falabella TV,Cocina,Cocina entretenida,,,,,
2865507,Burts Bees,Baby Bee Dusting Powder Bottle,0,6990,a,http://integra.ing.puc.cl/IMAGENESTI/2865507.jpeg,Belleza,Spa,,,,,,
3446650,Basement Home,Sitial Etrusco,239990,169990,a,http://integra.ing.puc.cl/IMAGENESTI/3446650.jpeg,Decohogar,Bar,Mesas Laterales,Sitiales y Poltronas,,,,
3613586,Desigual,Vestido Gris Estampado,0,54900,a,http://integra.ing.puc.cl/IMAGENESTI/3613586.jpeg,Moda  ,Marcas Moda,Desigual,,,,,
3537673,Basement ,Memory F Topper King,149990,77556,a,http://integra.ing.puc.cl/IMAGENESTI/3537673.jpeg,Dormitorio,Ropa de Cama,Accesorios de Dormitorio,,,,,
3258651,Sony,"Reproductor Mp3 4 Gb, NWZ-B172 Pink",0,29990,a,http://integra.ing.puc.cl/IMAGENESTI/3258651.jpeg,Regalos,Para Ella,Belleza y Spa,,,,,
3348302,Rosen,Camarote Liverpool 1 Plaza Chocolate,259990,169990,a,http://integra.ing.puc.cl/IMAGENESTI/3348302.jpeg,Dormitorio,Divanes y Otros,Divanes,,,,,
3658109,Clarks,Zapato Negro 20352880,0,49990,a,http://integra.ing.puc.cl/IMAGENESTI/3658109.jpeg,Calzado ,Marcas Calzado,Call it Spring,,,,,
3607484,Desigual,Cartera Mini Paulette,59990,39990,a,http://integra.ing.puc.cl/IMAGENESTI/3607484.jpeg,Moda  ,Vestuario Hombre,Jeans,,,,,
3610515,LG,Side by Side GC-J237AGPN.AKB 614 lt,0,1499990,a,http://integra.ing.puc.cl/IMAGENESTI/3610515.jpeg,Especiales ,Door in Door LG,,,,,,
3506580,Compactor,Compactor Jet Line M,19990,14990,a,http://integra.ing.puc.cl/IMAGENESTI/3506580.jpeg,Falabella TV,Hogar,Facilita tu vida,,,,,
3464104,Clinique,Crema Correctora de Ojeras Even Better 10 ml,0,37500,a,http://integra.ing.puc.cl/IMAGENESTI/3464104.jpeg,Belleza,Rostro,Contorno de ojos,,,,,
1816676,Churchill,Serenity Plato Bajo Redondo 27 cm,0,3490,a,http://integra.ing.puc.cl/IMAGENESTI/1816676.jpeg,Decohogar,Marcas Decohogar,,,,,,
